"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-36.4648 148.1217 NSW","Riffle",-36.4648,148.1217,8,3.2188758248682,-2.30258509299405,0.110521677149225,-0.617106157228976,108
"NSW","-36.49166 148.55469 NSW","Edge",-36.49166,148.55469,10,3.61091791264422,1.6094379124341,0.0252280076274573,-0.100097708163329,94
"NSW","-36.49166 148.55469 NSW","Riffle",-36.49166,148.55469,9,3.61091791264422,1.6094379124341,0.0252280076274573,-0.100097708163329,94
"NSW","-36.49410612 148.8323156 NSW","Edge",-36.49410612,148.8323156,6.4,3.6988297849671,0.494696241836107,0.00629707929078838,-0.0207463406845959,111
"NSW","-36.5074 148.8302 NSW","Edge",-36.5074,148.8302,4,2.56494935746154,1.02961941718116,0.00944979994692645,-0.12049198764189,111
"NSW","-36.5163 148.4463 NSW","Edge",-36.5163,148.4463,11,2.39789527279837,-1.6094379124341,0.131895691835387,-0.755280656989015,76
"NSW","-36.5163 148.4463 NSW","Riffle",-36.5163,148.4463,12,2.39789527279837,-1.6094379124341,0.131895691835387,-0.755280656989015,76
"NSW","-36.5183 148.9388 NSW","Edge",-36.5183,148.9388,4,6.17586727010576,1.70474809223843,0.0108184273226278,-0.405802427989353,110
"NSW","-36.5218 148.1917 NSW","Edge",-36.5218,148.1917,10,3.40119738166216,2.39789527279837,0.14044121665192,-1.11788634129551,93
"NSW","-36.5218 148.1917 NSW","Riffle",-36.5218,148.1917,13,3.40119738166216,2.39789527279837,0.14044121665192,-1.11788634129551,93
"NSW","-36.52267 148.56649 NSW","Edge",-36.52267,148.56649,3,5.96870755998537,3.71843825635548,0.0287569411141101,-0.0383571639055001,92
"NSW","-36.5242 148.13857 NSW","Edge",-36.5242,148.13857,11,3.13549421592915,2.78501124223834,0.0804496359551321,-0.567028138822324,115
"NSW","-36.5242 148.13857 NSW","Riffle",-36.5242,148.13857,13,3.13549421592915,2.78501124223834,0.0804496359551321,-0.567028138822324,115
"NSW","-36.5283 148.2644 NSW","Edge",-36.5283,148.2644,9,1.89711998488588,1.24319351747922,0.056634449511713,-1.03234584288934,55
"NSW","-36.5283 148.2644 NSW","Riffle",-36.5283,148.2644,9.5,1.94591014905531,1.55814461804655,0.056634449511713,-1.03234584288934,55
"NSW","-36.5305 149.5813 NSW","Edge",-36.5305,149.5813,6,3.73766961828337,0.262364264467491,0.0492875330952415,-0.245226765810142,124
"NSW","-36.5305 149.5813 NSW","Riffle",-36.5305,149.5813,13,3.73766961828337,0.262364264467491,0.0492875330952415,-0.245226765810142,124
"NSW","-36.5446 149.9805 NSW","Edge",-36.5446,149.9805,7.42857142857143,5.26490830441691,2.16986969388685,0.013291479061093,-0.0845701056877339,152
"NSW","-36.5446 149.9805 NSW","Riffle",-36.5446,149.9805,11,5.09067800176979,2.29253475714054,0.013291479061093,-0.0845701056877339,152
"NSW","-36.5459 148.1262 NSW","Edge",-36.5459,148.1262,10.4,3.42100000895834,1.21787570949493,0.0345876792498145,-0.650256914547688,118
"NSW","-36.5459 148.1262 NSW","Riffle",-36.5459,148.1262,12.1428571428571,3.23587340123677,0.356674943938732,0.0345876792498145,-0.650256914547688,118
"NSW","-36.5503 149.9304 NSW","Edge",-36.5503,149.9304,6,3.90197266957464,1.7227665977411,0.0310145911216369,-0.178845700860421,149
"NSW","-36.5503 149.9304 NSW","Riffle",-36.5503,149.9304,10,3.90197266957464,1.7227665977411,0.0310145911216369,-0.178845700860421,149
"NSW","-36.5574 149.4593 NSW","Edge",-36.5574,149.4593,9.33333333333333,3.16406758837321,1.69255281914461,0.0483127710668471,-0.569835036308483,101
"NSW","-36.5574 149.4593 NSW","Riffle",-36.5574,149.4593,15,2.67414864942653,2.03470564783844,0.0483127710668471,-0.569835036308483,101
"NSW","-36.57242 149.44089 NSW","Edge",-36.57242,149.44089,10,4.24849524204936,-0.510825623765991,0.0403117867788512,-0.174592227468386,98
"NSW","-36.57242 149.44089 NSW","Riffle",-36.57242,149.44089,15,4.24849524204936,-0.510825623765991,0.0403117867788512,-0.174592227468386,98
"NSW","-36.5747 149.8922 NSW","Edge",-36.5747,149.8922,7,4.32633772881329,1.58582804679497,0.0455794045852341,-0.267759220233514,138
"NSW","-36.5747 149.8922 NSW","Riffle",-36.5747,149.8922,10.75,4.10676708222066,1.80828877117927,0.0455794045852341,-0.267759220233514,138
"NSW","-36.5912 148.9451 NSW","Edge",-36.5912,148.9451,5.5,4.65396035015752,-0.105360515657826,0.0136293478278154,0.045105049260185,109
"NSW","-36.5917 149.409 NSW","Edge",-36.5917,149.409,5.5,4.35990882942026,2.03143232249348,0.0642244011899411,-0.635449987001549,92
"NSW","-36.5917 149.409 NSW","Riffle",-36.5917,149.409,8.75,4.35990882942026,2.03143232249348,0.0642244011899411,-0.635449987001549,92
"NSW","-36.59317 149.5938 NSW","Edge",-36.59317,149.5938,4,4.57471097850338,5.06259503302697,0.0274098636133172,0.69393963298632,138
"NSW","-36.60826 149.52799 NSW","Edge",-36.60826,149.52799,3.5,5.81413053182507,2.67414864942653,0.0260909455392273,0.151287127589576,140
"NSW","-36.6183 149.4322 NSW","Edge",-36.6183,149.4322,6,3.78418963391826,0.693147180559945,0.0348173707652152,-0.768344449250939,102
"NSW","-36.6337 149.5993 NSW","Edge",-36.6337,149.5993,6.5,4.97673374242057,1.21639532432449,0.0140071528869425,0.106360082898915,144
"NSW","-36.6337 149.5993 NSW","Riffle",-36.6337,149.5993,8.25,4.97673374242057,1.21639532432449,0.0140071528869425,0.106360082898915,144
"NSW","-36.64416 149.5564 NSW","Edge",-36.64416,149.5564,5,5.98141421125448,0.916290731874155,0.0164486256680788,0.13273971336489,142
"NSW","-36.64738 149.11188 NSW","Edge",-36.64738,149.11188,4,6.2709884318583,-0.693147180559945,0.0101111281234104,0.355705718855818,109
"NSW","-36.64738 149.11188 NSW","Riffle",-36.64738,149.11188,5,6.2709884318583,-0.693147180559945,0.0101111281234104,0.355705718855818,109
"NSW","-36.6488 149.1099 NSW","Edge",-36.6488,149.1099,9,4.89034912822175,2.29253475714054,0.0101111281234104,-0.322044170554642,109
